cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
1200013,Acrelandia,Acre,AC,False,Norte,-9.82581,-66.8972,"-9.82581,-66.8972",-8.77,-70.55,"-8.77,-70.55"
1200054,Assis Brasil,Acre,AC,False,Norte,-10.9298,-69.5738,"-10.9298,-69.5738",-8.77,-70.55,"-8.77,-70.55"
1200104,Brasileia,Acre,AC,False,Norte,-10.995,-68.7497,"-10.995,-68.7497",-8.77,-70.55,"-8.77,-70.55"
1200138,Bujari,Acre,AC,False,Norte,-9.81528,-67.955,"-9.81528,-67.955",-8.77,-70.55,"-8.77,-70.55"
1200179,Capixaba,Acre,AC,False,Norte,-10.566,-67.686,"-10.566,-67.686",-8.77,-70.55,"-8.77,-70.55"
1200203,Cruzeiro Do Sul,Acre,AC,False,Norte,-7.62762,-72.6756,"-7.62762,-72.6756",-8.77,-70.55,"-8.77,-70.55"
1200252,Epitaciolandia,Acre,AC,False,Norte,-11.0188,-68.7341,"-11.0188,-68.7341",-8.77,-70.55,"-8.77,-70.55"
1200302,Feijo,Acre,AC,False,Norte,-8.17054,-70.351,"-8.17054,-70.351",-8.77,-70.55,"-8.77,-70.55"
1200328,Jordao,Acre,AC,False,Norte,-9.43091,-71.8974,"-9.43091,-71.8974",-8.77,-70.55,"-8.77,-70.55"
1200336,Mancio Lima,Acre,AC,False,Norte,-7.61657,-72.8997,"-7.61657,-72.8997",-8.77,-70.55,"-8.77,-70.55"
1200344,Manoel Urbano,Acre,AC,False,Norte,-8.83291,-69.2679,"-8.83291,-69.2679",-8.77,-70.55,"-8.77,-70.55"
1200351,Marechal Thaumaturgo,Acre,AC,False,Norte,-8.93898,-72.7997,"-8.93898,-72.7997",-8.77,-70.55,"-8.77,-70.55"
1200385,Placido De Castro,Acre,AC,False,Norte,-10.2806,-67.1371,"-10.2806,-67.1371",-8.77,-70.55,"-8.77,-70.55"
1200807,Porto Acre,Acre,AC,False,Norte,-9.58138,-67.5478,"-9.58138,-67.5478",-8.77,-70.55,"-8.77,-70.55"
1200393,Porto Walter,Acre,AC,False,Norte,-8.26323,-72.7537,"-8.26323,-72.7537",-8.77,-70.55,"-8.77,-70.55"
1200401,Rio Branco,Acre,AC,True,Norte,-9.97499,-67.8243,"-9.97499,-67.8243",-8.77,-70.55,"-8.77,-70.55"
1200427,Rodrigues Alves,Acre,AC,False,Norte,-7.73864,-72.661,"-7.73864,-72.661",-8.77,-70.55,"-8.77,-70.55"
1200435,Santa Rosa Do Purus,Acre,AC,False,Norte,-9.44652,-70.4902,"-9.44652,-70.4902",-8.77,-70.55,"-8.77,-70.55"
1200500,Sena Madureira,Acre,AC,False,Norte,-9.06596,-68.6571,"-9.06596,-68.6571",-8.77,-70.55,"-8.77,-70.55"
1200450,Senador Guiomard,Acre,AC,False,Norte,-10.1497,-67.7362,"-10.1497,-67.7362",-8.77,-70.55,"-8.77,-70.55"
1200609,Tarauaca,Acre,AC,False,Norte,-8.15697,-70.7722,"-8.15697,-70.7722",-8.77,-70.55,"-8.77,-70.55"
1200708,Xapuri,Acre,AC,False,Norte,-10.6516,-68.4969,"-10.6516,-68.4969",-8.77,-70.55,"-8.77,-70.55"
2700102,Agua Branca,Alagoas,AL,False,Nordeste,-9.262,-37.938,"-9.262,-37.938",-9.71,-35.73,"-9.71,-35.73"
2700201,Anadia,Alagoas,AL,False,Nordeste,-9.68489,-36.3078,"-9.68489,-36.3078",-9.71,-35.73,"-9.71,-35.73"
2700300,Arapiraca,Alagoas,AL,False,Nordeste,-9.75487,-36.6615,"-9.75487,-36.6615",-9.71,-35.73,"-9.71,-35.73"
2700409,Atalaia,Alagoas,AL,False,Nordeste,-9.5119,-36.0086,"-9.5119,-36.0086",-9.71,-35.73,"-9.71,-35.73"
2700508,Barra De Santo Antonio,Alagoas,AL,False,Nordeste,-9.4023,-35.5101,"-9.4023,-35.5101",-9.71,-35.73,"-9.71,-35.73"
2700607,Barra De Sao Miguel,Alagoas,AL,False,Nordeste,-9.83842,-35.9057,"-9.83842,-35.9057",-9.71,-35.73,"-9.71,-35.73"
2700706,Batalha,Alagoas,AL,False,Nordeste,-9.6742,-37.133,"-9.6742,-37.133",-9.71,-35.73,"-9.71,-35.73"
2700805,Belem,Alagoas,AL,False,Nordeste,-9.57047,-36.4904,"-9.57047,-36.4904",-9.71,-35.73,"-9.71,-35.73"
2700904,Belo Monte,Alagoas,AL,False,Nordeste,-9.82272,-37.277,"-9.82272,-37.277",-9.71,-35.73,"-9.71,-35.73"
2701001,Boca Da Mata,Alagoas,AL,False,Nordeste,-9.64308,-36.2125,"-9.64308,-36.2125",-9.71,-35.73,"-9.71,-35.73"
2701100,Branquinha,Alagoas,AL,False,Nordeste,-9.23342,-36.0162,"-9.23342,-36.0162",-9.71,-35.73,"-9.71,-35.73"
2701209,Cacimbinhas,Alagoas,AL,False,Nordeste,-9.40121,-36.9911,"-9.40121,-36.9911",-9.71,-35.73,"-9.71,-35.73"
2701308,Cajueiro,Alagoas,AL,False,Nordeste,-9.3994,-36.1559,"-9.3994,-36.1559",-9.71,-35.73,"-9.71,-35.73"
2701357,Campestre,Alagoas,AL,False,Nordeste,-8.84723,-35.5685,"-8.84723,-35.5685",-9.71,-35.73,"-9.71,-35.73"
2701407,Campo Alegre,Alagoas,AL,False,Nordeste,-9.78451,-36.3525,"-9.78451,-36.3525",-9.71,-35.73,"-9.71,-35.73"
2701506,Campo Grande,Alagoas,AL,False,Nordeste,-9.95542,-36.7926,"-9.95542,-36.7926",-9.71,-35.73,"-9.71,-35.73"
2701605,Canapi,Alagoas,AL,False,Nordeste,-9.11932,-37.5967,"-9.11932,-37.5967",-9.71,-35.73,"-9.71,-35.73"
2701704,Capela,Alagoas,AL,False,Nordeste,-9.41504,-36.0826,"-9.41504,-36.0826",-9.71,-35.73,"-9.71,-35.73"
2701803,Carneiros,Alagoas,AL,False,Nordeste,-9.48476,-37.3773,"-9.48476,-37.3773",-9.71,-35.73,"-9.71,-35.73"
2701902,Cha Preta,Alagoas,AL,False,Nordeste,-9.2556,-36.2983,"-9.2556,-36.2983",-9.71,-35.73,"-9.71,-35.73"
2702009,Coite Do Noia,Alagoas,AL,False,Nordeste,-9.63348,-36.5845,"-9.63348,-36.5845",-9.71,-35.73,"-9.71,-35.73"
2702108,Colonia Leopoldina,Alagoas,AL,False,Nordeste,-8.91806,-35.7214,"-8.91806,-35.7214",-9.71,-35.73,"-9.71,-35.73"
2702207,Coqueiro Seco,Alagoas,AL,False,Nordeste,-9.63715,-35.7994,"-9.63715,-35.7994",-9.71,-35.73,"-9.71,-35.73"
2702306,Coruripe,Alagoas,AL,False,Nordeste,-10.1276,-36.1717,"-10.1276,-36.1717",-9.71,-35.73,"-9.71,-35.73"
2702355,Craibas,Alagoas,AL,False,Nordeste,-9.6178,-36.7697,"-9.6178,-36.7697",-9.71,-35.73,"-9.71,-35.73"
2702405,Delmiro Gouveia,Alagoas,AL,False,Nordeste,-9.38534,-37.9987,"-9.38534,-37.9987",-9.71,-35.73,"-9.71,-35.73"
2702504,Dois Riachos,Alagoas,AL,False,Nordeste,-9.38465,-37.0965,"-9.38465,-37.0965",-9.71,-35.73,"-9.71,-35.73"
2702553,Estrela De Alagoas,Alagoas,AL,False,Nordeste,-9.39089,-36.7644,"-9.39089,-36.7644",-9.71,-35.73,"-9.71,-35.73"
2702603,Feira Grande,Alagoas,AL,False,Nordeste,-9.89859,-36.6815,"-9.89859,-36.6815",-9.71,-35.73,"-9.71,-35.73"
2702702,Feliz Deserto,Alagoas,AL,False,Nordeste,-10.2935,-36.3028,"-10.2935,-36.3028",-9.71,-35.73,"-9.71,-35.73"
2702801,Flexeiras,Alagoas,AL,False,Nordeste,-9.27281,-35.7139,"-9.27281,-35.7139",-9.71,-35.73,"-9.71,-35.73"
2702900,Girau Do Ponciano,Alagoas,AL,False,Nordeste,-9.88404,-36.8316,"-9.88404,-36.8316",-9.71,-35.73,"-9.71,-35.73"
2703007,Ibateguara,Alagoas,AL,False,Nordeste,-8.97823,-35.9373,"-8.97823,-35.9373",-9.71,-35.73,"-9.71,-35.73"
2703106,Igaci,Alagoas,AL,False,Nordeste,-9.53768,-36.6372,"-9.53768,-36.6372",-9.71,-35.73,"-9.71,-35.73"
2703205,Igreja Nova,Alagoas,AL,False,Nordeste,-10.1235,-36.6597,"-10.1235,-36.6597",-9.71,-35.73,"-9.71,-35.73"
2703304,Inhapi,Alagoas,AL,False,Nordeste,-9.22594,-37.7509,"-9.22594,-37.7509",-9.71,-35.73,"-9.71,-35.73"
2703403,Jacare Dos Homens,Alagoas,AL,False,Nordeste,-9.63545,-37.2076,"-9.63545,-37.2076",-9.71,-35.73,"-9.71,-35.73"
2703502,Jacuipe,Alagoas,AL,False,Nordeste,-8.83951,-35.4591,"-8.83951,-35.4591",-9.71,-35.73,"-9.71,-35.73"
